学生1,学生2
41,10
102,41
41,10
102,41
85,22
41,10
102,41
41,10
102,41
41,10
102,41
52,42
41,10
122,73
102,41
52,42
41,10
122,73
102,41
52,42
41,10
122,73
102,41
52,42
122,73
102,41
52,42
41,10
122,73
41,10
122,73
41,10
122,73
85,42
41,10
122,73
41,10
122,73
41,10
122,73
85,22
122,73
9,19
41,10
122,73
9,19
52,42
41,10
122,73
9,19
73,74
41,10
9,19
9,19
41,10
9,19
41,10
41,10
85,42
41,10
41,10
9,19
73,74
41,10
73,74
41,10
9,19
41,10
91,96
19,47
85,42
52,13
65,42
96,86
91,96
91,86
41,10
7,53
41,42
85,91
14,10
41,10
85,116
114,61
7,53
34,74
85,65
41,10
114,42
34,74
9,122
9,96
96,114
8,114
122,115
8,74
46,74
41,10
46,84
39,84
46,39
85,22
41,10
85,42
14,13
46,39
41,10
85,42
60,85
85,42
60,42
60,85
41,10
60,42
74,22
74,22
60,85
47,42
47,42
47,42
41,10
46,39
41,10
96,74
74,42
41,10
122,73
46,42
74,42
41,10
122,73
52,8
41,10
52,8
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
91,86
41,10
91,86
41,10
41,10
41,10
41,10
41,10
91,86
41,10
41,10
91,86
41,10
91,86
41,10
41,10
91,86
41,10
41,10
41,10
41,10
41,10
91,86
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
53,6
41,10
60,96
41,10
53,39
41,10
53,39
41,10
60,10
19,22
53,39
41,10
60,10
19,22
53,39
41,10
8,115
19,22
46,39
41,10
46,53
19,22
53,39
41,10
53,39
41,10
60,42
53,39
46,53
60,42
41,10
41,10
60,42
46,39
41,10
46,39
41,10
53,96
18,14
18,14
18,14
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
102,9
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
41,10
102,9
41,10
41,10
20,114
20,114
114,61
20,114
20,114
20,114
20,114
20,114
20,114
34,19
20,114
20,114
41,10
41,10
20,73
41,10
53,14
41,10
21,84
41,10
41,10
53,14
53,14
41,10
53,14
41,10
13,115
52,14
13,115
14,38
41,10
14,22
52,14
13,115
41,10
14,22
52,14
13,115
14,38
19,13
13,115
14,73
14,10
14,38
41,10
13,115
14,38
41,10
52,10
34,14
14,38
52,41
41,10
14,114
9,13
13,115
73,22
52,10
52,41
14,61
13,115
10,65
53,14
13,115
10,65
13,114
52,13
10,65
52,5
53,14
13,115
8,84
53,14
13,115
52,13
53,14
10,114
53,14
53,14
13,115
52,13
117,39
96,65
53,14
39,5
52,13
117,39
13,84
39,73
53,14
52,13
52,115
10,65
39,73
73,5
52,13
42,22
39,73
53,14
52,13
42,22
96,65
39,73
46,73
52,13
42,22
52,115
39,73
46,73
53,14
13,115
52,13
42,22
52,115
39,73
53,14
9,13
13,115
52,13
42,22
46,39
52,115
39,73
19,13
46,73
9,13
13,115
52,13
39,73
13,115
52,13
39,42
52,115
91,20
39,73
13,115
52,13
52,115
96,65
52,91
39,73
5,42
52,13
52,91
39,73
5,72
52,13
9,47
39,73
5,72
52,13
91,65
14,61
85,47
39,73
5,72
13,115
52,13
65,72
85,73
9,19
13,65
46,13
13,115
13,42
52,13
46,39
9,19
117,73
46,13
13,38
52,13
85,13
117,73
85,42
53,14
13,38
52,13
86,65
52,13
86,65
52,13
85,73
13,115
52,13
46,38
52,13
52,13
85,42
52,13
85,42
52,13
65,72
85,42
52,13
86,65
20,5
52,13
21,47
86,65
85,42
52,13
9,19
85,42
52,13
9,19
85,42
52,13
9,19
102,41
52,13
9,19
85,42
52,13
85,42
52,13
52,13
85,42
20,5
20,5
85,42
20,5
52,13
9,19
20,5
9,19
85,42
20,5
85,42
53,14
20,5
9,19
85,42
20,5
9,19
85,42
9,19
85,42
20,5
9,19
85,42
20,5
9,19
85,42
20,5
9,19
20,5
85,22
9,19
20,5
85,22
9,19
85,42
20,5
9,19
20,5
9,19
9,19
85,42
39,21
20,5
9,19
39,21
20,5
73,74
9,19
85,42
39,21
20,5
73,74
9,19
39,21
73,74
9,19
20,5
73,74
9,19
85,42
20,5
73,74
9,19
85,42
20,5
73,74
9,19
85,42
20,5
73,74
9,19
53,14
20,5
73,74
9,19
53,14
20,5
73,74
9,19
85,42
20,5
73,74
9,19
85,42
20,5
73,74
9,19
85,42
20,5
73,74
85,42
20,5
85,42
20,5
85,42
20,5
85,42
20,5
9,19
85,42
85,42
20,5
9,19
9,19
9,19
85,42
85,42
73,74
9,19
85,42
9,19
85,42
20,5
9,19
85,42
20,5
85,42
39,21
85,42
39,21
9,19
9,19
46,38
20,5
20,5
85,42
85,42
102,41
20,5
85,42
20,5
20,5
85,42
20,5
122,73
85,42
39,21
20,5
85,42
20,5
122,73
20,5
20,5
85,42
102,41
20,5
122,73
85,42
122,73
85,42
102,41
20,5
122,73
85,42
39,21
20,5
85,42
20,5
102,41
20,5
85,42
20,5
52,13
85,42
85,42
52,13
85,42
85,42
39,21
85,42
85,42
85,42
85,42
85,42
85,42
122,73
85,42
122,73
39,21
52,13
52,13
52,13
85,42
85,42
9,19
85,42
85,42
13,42
13,42
52,13
73,74
52,13
73,74
52,13
20,5
73,74
20,5
52,13
20,5
20,5
52,13
20,5
52,13
20,5
9,10
52,13
9,10
20,5
9,10
52,13
20,5
9,10
20,5
52,13
52,13
73,74
20,5
73,74
20,5
20,5
39,21
20,5
39,21
20,5
39,21
85,42
39,21
85,42
39,21
9,19
85,42
20,5
9,19
85,42
20,5
9,19
85,42
20,5
9,19
20,5
20,5
20,5
85,22
20,5
85,22
85,42
20,5
85,42
85,42
91,96
85,42
39,21
85,22
85,22
85,22
85,22
20,5
85,22
85,22
122,73
85,22
122,73
20,5
122,73
20,5
20,5
52,13
20,5
20,5
20,5
20,5
122,73
20,5
122,73
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
122,73
9,19
20,5
9,19
20,5
122,73
53,14
122,73
53,14
52,13
122,73
122,73
122,73
52,13
122,73
122,73
20,5
122,73
20,5
20,5
52,13
52,13
122,73
122,73
52,13
122,73
52,13
122,73
122,73
20,5
52,13
122,73
9,19
20,41
20,5
20,5
9,10
20,41
20,5
20,41
20,5
20,41
20,5
20,5
20,5
20,5
122,73
20,5
20,5
20,5
20,5
73,74
20,5
20,5
73,74
20,5
73,74
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
53,14
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
20,5
122,73
38,42
39,21
20,5
122,73
39,21
20,5
122,73
38,42
20,5
122,73
38,42
20,5
52,13
122,73
38,42
20,5
52,13
122,73
38,42
52,13
122,73
52,13
122,73
20,5
52,13
122,73
20,5
52,13
122,73
20,41
20,5
52,13
60,5
122,73
20,5
52,13
122,73
9,10
52,13
38,42
20,5
9,10
52,13
20,5
52,13
52,13
60,5
38,42
20,5
52,13
52,13
52,13
52,13
20,5
52,13
20,5
52,13
20,5
52,13
20,5
52,13
20,5
52,13
20,5
52,13
20,5
52,13
20,5
52,13
52,13
20,5
52,13
60,114
91,96
20,5
52,13
60,114
20,5
52,13
20,5
52,13
20,5
52,13
53,14
20,5
52,13
20,5
52,13
38,42
20,5
52,13
38,42
20,5
52,13
20,5
38,42
20,5
52,13
38,42
20,5
52,13
20,5
52,13
38,42
20,5
52,13
38,42
20,5
38,42
20,5
52,13
38,42
52,13
38,42
102,41
38,42
20,5
52,13
20,5
52,13
9,19
9,19
20,5
38,42
20,5
38,42
20,5
38,42
9,19
20,5
38,42
20,5
38,42
9,19
20,5
38,42
102,41
20,5
38,42
102,41
20,5
52,13
38,42
38,42
9,19
102,41
20,5
38,42
9,19
38,42
9,19
38,42
38,42
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
20,5
38,42
8,116
20,5
38,42
9,19
8,116
20,5
9,10
38,42
9,19
60,13
8,116
20,5
38,42
8,116
20,5
38,42
8,116
9,10
38,42
9,19
60,13
8,116
38,42
9,19
8,116
38,42
9,19
8,116
20,5
38,42
9,19
8,116
20,5
38,42
9,19
8,116
20,5
38,42
9,19
8,116
20,5
38,42
9,19
8,116
20,5
38,42
9,19
20,5
122,73
38,42
9,19
20,5
122,73
38,42
9,19
38,42
9,19
86,65
38,42
9,19
20,5
122,73
38,42
9,19
38,42
38,42
60,13
38,42
9,19
38,42
9,19
20,5
38,42
9,19
8,116
20,5
9,122
38,42
8,116
53,14
20,5
73,74
52,73
85,13
9,19
60,73
8,116
53,14
20,5
14,41
13,38
73,38
9,41
60,74
85,13
9,19
60,73
8,116
73,74
9,41
85,13
122,10
8,116
9,61
8,116
8,116
60,42
41,61
39,47
91,96
39,47
53,41
96,86
60,115
39,47
53,41
41,22
41,74
91,96
53,73
8,22
60,115
53,41
41,22
39,65
7,115
41,39
53,39
41,73
41,74
91,96
53,73
53,41
73,74
41,39
53,39
34,60
34,60
46,39
34,42
60,42
34,5
5,42
46,39
41,74
60,42
5,115
46,39
61,42
34,115
34,7
34,7
19,39
6,74
10,47
41,65
41,65
41,65
60,65
60,41
41,65
41,65
41,65
20,13
20,13
13,5
20,5
13,5
20,13
20,5
20,5
13,5
20,5
20,13
14,38
60,5
60,20
20,13
60,5
60,20
60,114
60,13
60,114
34,61
60,20
34,46
39,47
41,10
60,20
60,20
34,6
8,13
46,39
52,13
46,39
46,39
19,10
9,19
8,116
20,5
52,13
46,39
85,22
19,10
9,19
8,116
20,5
46,39
85,22
19,10
9,19
8,116
46,39
85,22
9,19
8,116
41,5
46,39
85,22
9,19
8,116
41,5
20,5
46,39
85,22
116,72
9,19
60,13
8,116
41,5
20,5
46,39
85,22
9,19
60,13
86,65
8,116
20,5
46,39
85,22
65,72
9,19
8,116
53,14
20,5
46,39
85,22
19,10
9,19
8,116
53,14
20,5
46,39
19,10
9,19
8,116
53,14
20,5
46,39
8,116
53,14
46,39
60,114
86,65
8,116
20,5
46,39
8,116
20,5
46,39
8,116
53,14
20,5
46,39
8,116
53,14
20,5
46,39
60,114
8,116
53,14
20,5
46,39
8,116
53,14
46,39
8,116
53,14
34,114
46,39
8,116
53,14
46,39
8,116
46,39
8,116
46,39
8,116
46,39
8,116
46,39
8,116
46,39
8,116
65,22
46,39
60,114
8,116
46,39
8,116
46,39
8,116
46,39
8,116
46,39
8,116
46,39
85,22
8,116
46,39
85,52
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
53,14
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
46,39
8,116
46,39
8,116
85,42
46,39
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
122,73
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
60,114
86,65
8,116
85,42
46,39
60,114
8,116
85,42
52,18
46,39
60,114
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
46,39
60,114
8,116
85,42
52,18
46,39
8,116
85,42
46,39
8,116
85,42
52,18
46,39
60,114
8,116
85,42
46,39
60,114
8,116
85,42
46,39
60,114
8,116
85,42
52,18
46,39
60,114
8,116
85,42
52,18
65,22
46,39
60,114
8,116
85,42
46,39
8,116
52,18
65,22
46,39
60,114
8,116
85,42
52,18
46,39
122,73
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
46,39
8,116
85,42
52,18
46,39
60,114
8,116
85,42
52,18
46,39
60,114
8,116
85,42
52,18
46,39
60,114
8,116
85,42
46,39
8,116
52,18
46,39
8,116
85,42
52,18
46,39
86,65
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
46,39
8,116
85,42
52,18
53,14
46,39
122,73
8,116
85,42
53,14
46,39
122,73
8,116
85,42
52,18
46,39
122,73
8,116
85,42
52,18
46,39
122,73
60,114
8,116
85,42
52,18
46,39
122,73
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
38,42
8,116
85,42
46,39
38,42
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
14,73
46,39
60,114
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
60,114
8,116
85,42
46,39
60,114
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
46,39
8,116
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
53,14
46,39
85,42
52,18
53,14
46,39
85,42
52,18
46,39
85,42
52,18
46,39
38,42
85,42
52,18
46,39
122,73
38,42
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
53,14
46,39
86,65
85,42
52,18
46,39
86,65
85,42
53,14
46,39
122,73
86,65
85,42
52,18
53,14
46,39
122,73
86,65
85,42
52,18
46,39
86,65
85,42
52,18
53,14
46,39
86,65
85,42
52,18
53,14
46,39
86,65
85,42
52,18
53,14
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
122,73
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
46,39
86,65
85,42
52,18
46,39
122,73
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
86,65
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
60,114
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
73,74
46,39
85,42
52,18
73,74
46,39
85,42
52,18
46,39
60,114
38,42
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
53,14
46,39
85,42
52,18
46,39
85,42
52,18
46,39
38,42
85,42
52,18
46,39
85,42
52,18
46,39
85,42
52,18
46,39
38,42
85,42
52,18
46,39
38,42
85,42
52,18
46,39
38,42
85,42
52,18
46,39
38,42
85,42
